question_id,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5
1,b,b,b,b,b
2,c,c,c,c,c
3,d,d,d,d,d
4,b,b,b,b,b
5,a,c,a,c,a
6,d,d,d,d,d
7,a,a,a,a,a
8,c,c,c,c,c
9,d,d,d,d,d
10,c,a,c,a,a
11,a,a,a,a,a
12,a,a,a,a,a
13,c,c,c,c,c
14,b,b,b,b,b
15,d,d,d,d,d
16,a,a,a,a,a
17,"a, c","a, c","a, c","a, c","a, c"
18,"a, d, e","a, c, d, e","a, d, e","a, d, e","a, d, e"
19,d,d,d,d,d
20,c,c,c,c,c
21,b,b,c,b,b
22,d,d,d,d,d
23,b,b,b,b,b
24,c,c,c,c,c
25,d,d,d,d,d
26,b,b,b,b,b
27,a,a,a,a,a
28,d,d,d,d,d
29,a,a,a,a,a
30,b,b,b,b,b
31,"a, c, d","a, c, d","a, c, d","a, c, d","a, c, d"
32,a,a,a,a,a
33,b,c,c,c,c
34,d,d,d,d,d
35,b,b,b,b,b
36,d,d,d,d,d
37,d,d,d,d,d
38,d,d,d,d,d
39,a,a,a,a,a
40,"a, b, c, d","a, b, c, d",c,c,"a, b, c, d"
41,b,b,b,b,b
42,b,b,b,b,b
43,b,b,b,b,b
44,b,b,b,b,b
45,a,a,a,a,a
46,d,d,d,d,d
47,d,d,d,d,d
48,a,a,a,a,a
49,d,d,d,d,d
50,d,d,d,d,d
51,a,a,a,a,a
52,a,a,a,a,a
53,c,c,c,c,c
54,d,d,d,d,d
55,b,b,b,b,b
56,b,b,b,b,b
57,c,c,c,c,c
58,b,b,b,b,b
59,b,b,b,b,b
60,a,a,a,a,a
61,d,d,d,d,d
62,d,d,d,d,d
63,b,b,b,b,b
64,d,d,d,d,d
65,c,c,c,c,c
66,d,d,d,d,d
67,"a, b, c","a, b, c","a, b, c","a, b, c","a, b, c"
68,"a, c, d","a, c, d","a, c, d","a, c, d","a, c, d"
69,"a, b, c","a, b, c","a, b, c","a, b, c","a, b, c"
70,c,c,c,"a, c",c
71,"a, c, e","a, b, c, e","a, b, c, e","a, b, c, e",a
72,c,c,c,c,c
73,a,"a, b, c",a,a,a
74,a,a,a,a,a
75,"b, d","b, d",b,"b, d",b
